target_id	species	chromosome_info
lcl|C_viatorium-QZWW01000048.1	C. viatorum	QZWW01000048.1
lcl|C_viatorium-QZWW01000185.1	C. viatorum	QZWW01000185.1
lcl|C_viatorium-QZWW01000049.1	C. viatorum	QZWW01000049.1
lcl|C_viatorium-QZWW01000186.1	C. viatorum	QZWW01000186.1
lcl|C_viatorium-QZWW01000469.1	C. viatorum	QZWW01000469.1
lcl|C_viatorium-QZWW01000470.1	C. viatorum	QZWW01000470.1
lcl|C_viatorium-QZWW01000471.1	C. viatorum	QZWW01000471.1
lcl|C_viatorium-QZWW01000472.1	C. viatorum	QZWW01000472.1
lcl|C_viatorium-QZWW01000050.1	C. viatorum	QZWW01000050.1
lcl|C_viatorium-QZWW01000187.1	C. viatorum	QZWW01000187.1
lcl|C_viatorium-QZWW01000188.1	C. viatorum	QZWW01000188.1
lcl|C_viatorium-QZWW01000473.1	C. viatorum	QZWW01000473.1
lcl|C_viatorium-QZWW01000051.1	C. viatorum	QZWW01000051.1
lcl|C_viatorium-QZWW01000189.1	C. viatorum	QZWW01000189.1
lcl|C_viatorium-QZWW01000474.1	C. viatorum	QZWW01000474.1
lcl|C_viatorium-QZWW01000052.1	C. viatorum	QZWW01000052.1
lcl|C_viatorium-QZWW01000005.1	C. viatorum	QZWW01000005.1
lcl|C_viatorium-QZWW01000190.1	C. viatorum	QZWW01000190.1
lcl|C_viatorium-QZWW01000053.1	C. viatorum	QZWW01000053.1
lcl|C_viatorium-QZWW01000191.1	C. viatorum	QZWW01000191.1
lcl|C_viatorium-QZWW01000054.1	C. viatorum	QZWW01000054.1
lcl|C_viatorium-QZWW01000192.1	C. viatorum	QZWW01000192.1
lcl|C_viatorium-QZWW01000055.1	C. viatorum	QZWW01000055.1
lcl|C_viatorium-QZWW01000193.1	C. viatorum	QZWW01000193.1
lcl|C_viatorium-QZWW01000194.1	C. viatorum	QZWW01000194.1
lcl|C_viatorium-QZWW01000056.1	C. viatorum	QZWW01000056.1
lcl|C_viatorium-QZWW01000057.1	C. viatorum	QZWW01000057.1
lcl|C_viatorium-QZWW01000195.1	C. viatorum	QZWW01000195.1
lcl|C_viatorium-QZWW01000196.1	C. viatorum	QZWW01000196.1
lcl|C_viatorium-QZWW01000058.1	C. viatorum	QZWW01000058.1
lcl|C_viatorium-QZWW01000059.1	C. viatorum	QZWW01000059.1
lcl|C_viatorium-QZWW01000197.1	C. viatorum	QZWW01000197.1
lcl|C_viatorium-QZWW01000475.1	C. viatorum	QZWW01000475.1
lcl|C_viatorium-QZWW01000476.1	C. viatorum	QZWW01000476.1
lcl|C_viatorium-QZWW01000060.1	C. viatorum	QZWW01000060.1
lcl|C_viatorium-QZWW01000198.1	C. viatorum	QZWW01000198.1
lcl|C_viatorium-QZWW01000061.1	C. viatorum	QZWW01000061.1
lcl|C_viatorium-QZWW01000199.1	C. viatorum	QZWW01000199.1
lcl|C_viatorium-QZWW01000200.1	C. viatorum	QZWW01000200.1
lcl|C_viatorium-QZWW01000201.1	C. viatorum	QZWW01000201.1
lcl|C_viatorium-QZWW01000202.1	C. viatorum	QZWW01000202.1
lcl|C_viatorium-QZWW01000477.1	C. viatorum	QZWW01000477.1
lcl|C_viatorium-QZWW01000062.1	C. viatorum	QZWW01000062.1
lcl|C_viatorium-QZWW01000203.1	C. viatorum	QZWW01000203.1
lcl|C_viatorium-QZWW01000478.1	C. viatorum	QZWW01000478.1
lcl|C_viatorium-QZWW01000204.1	C. viatorum	QZWW01000204.1
lcl|C_viatorium-QZWW01000063.1	C. viatorum	QZWW01000063.1
lcl|C_viatorium-QZWW01000205.1	C. viatorum	QZWW01000205.1
lcl|C_viatorium-QZWW01000064.1	C. viatorum	QZWW01000064.1
lcl|C_viatorium-QZWW01000479.1	C. viatorum	QZWW01000479.1
lcl|C_viatorium-QZWW01000206.1	C. viatorum	QZWW01000206.1
lcl|C_viatorium-QZWW01000065.1	C. viatorum	QZWW01000065.1
lcl|C_viatorium-QZWW01000066.1	C. viatorum	QZWW01000066.1
lcl|C_viatorium-QZWW01000207.1	C. viatorum	QZWW01000207.1
lcl|C_viatorium-QZWW01000208.1	C. viatorum	QZWW01000208.1
lcl|C_viatorium-QZWW01000209.1	C. viatorum	QZWW01000209.1
lcl|C_viatorium-QZWW01000067.1	C. viatorum	QZWW01000067.1
lcl|C_viatorium-QZWW01000210.1	C. viatorum	QZWW01000210.1
lcl|C_viatorium-QZWW01000068.1	C. viatorum	QZWW01000068.1
lcl|C_viatorium-QZWW01000211.1	C. viatorum	QZWW01000211.1
lcl|C_viatorium-QZWW01000212.1	C. viatorum	QZWW01000212.1
lcl|C_viatorium-QZWW01000069.1	C. viatorum	QZWW01000069.1
lcl|C_viatorium-QZWW01000213.1	C. viatorum	QZWW01000213.1
lcl|C_viatorium-QZWW01000070.1	C. viatorum	QZWW01000070.1
lcl|C_viatorium-QZWW01000214.1	C. viatorum	QZWW01000214.1
lcl|C_viatorium-QZWW01000215.1	C. viatorum	QZWW01000215.1
lcl|C_viatorium-QZWW01000071.1	C. viatorum	QZWW01000071.1
lcl|C_viatorium-QZWW01000006.1	C. viatorum	QZWW01000006.1
lcl|C_viatorium-QZWW01000072.1	C. viatorum	QZWW01000072.1
lcl|C_viatorium-QZWW01000216.1	C. viatorum	QZWW01000216.1
lcl|C_viatorium-QZWW01000217.1	C. viatorum	QZWW01000217.1
lcl|C_viatorium-QZWW01000218.1	C. viatorum	QZWW01000218.1
lcl|C_viatorium-QZWW01000073.1	C. viatorum	QZWW01000073.1
lcl|C_viatorium-QZWW01000219.1	C. viatorum	QZWW01000219.1
lcl|C_viatorium-QZWW01000074.1	C. viatorum	QZWW01000074.1
lcl|C_viatorium-QZWW01000075.1	C. viatorum	QZWW01000075.1
lcl|C_viatorium-QZWW01000220.1	C. viatorum	QZWW01000220.1
lcl|C_viatorium-QZWW01000221.1	C. viatorum	QZWW01000221.1
lcl|C_viatorium-QZWW01000076.1	C. viatorum	QZWW01000076.1
lcl|C_viatorium-QZWW01000222.1	C. viatorum	QZWW01000222.1
lcl|C_viatorium-QZWW01000223.1	C. viatorum	QZWW01000223.1
lcl|C_viatorium-QZWW01000224.1	C. viatorum	QZWW01000224.1
lcl|C_viatorium-QZWW01000077.1	C. viatorum	QZWW01000077.1
lcl|C_viatorium-QZWW01000225.1	C. viatorum	QZWW01000225.1
lcl|C_viatorium-QZWW01000226.1	C. viatorum	QZWW01000226.1
lcl|C_viatorium-QZWW01000078.1	C. viatorum	QZWW01000078.1
lcl|C_viatorium-QZWW01000227.1	C. viatorum	QZWW01000227.1
lcl|C_viatorium-QZWW01000079.1	C. viatorum	QZWW01000079.1
lcl|C_viatorium-QZWW01000228.1	C. viatorum	QZWW01000228.1
lcl|C_viatorium-QZWW01000080.1	C. viatorum	QZWW01000080.1
lcl|C_viatorium-QZWW01000229.1	C. viatorum	QZWW01000229.1
lcl|C_viatorium-QZWW01000230.1	C. viatorum	QZWW01000230.1
lcl|C_viatorium-QZWW01000081.1	C. viatorum	QZWW01000081.1
lcl|C_viatorium-QZWW01000007.1	C. viatorum	QZWW01000007.1
lcl|C_viatorium-QZWW01000231.1	C. viatorum	QZWW01000231.1
lcl|C_viatorium-QZWW01000232.1	C. viatorum	QZWW01000232.1
lcl|C_viatorium-QZWW01000082.1	C. viatorum	QZWW01000082.1
lcl|C_viatorium-QZWW01000233.1	C. viatorum	QZWW01000233.1
lcl|C_viatorium-QZWW01000234.1	C. viatorum	QZWW01000234.1
lcl|C_viatorium-QZWW01000083.1	C. viatorum	QZWW01000083.1
lcl|C_viatorium-QZWW01000235.1	C. viatorum	QZWW01000235.1
lcl|C_viatorium-QZWW01000084.1	C. viatorum	QZWW01000084.1
lcl|C_viatorium-QZWW01000236.1	C. viatorum	QZWW01000236.1
lcl|C_viatorium-QZWW01000085.1	C. viatorum	QZWW01000085.1
lcl|C_viatorium-QZWW01000237.1	C. viatorum	QZWW01000237.1
lcl|C_viatorium-QZWW01000238.1	C. viatorum	QZWW01000238.1
lcl|C_viatorium-QZWW01000239.1	C. viatorum	QZWW01000239.1
lcl|C_viatorium-QZWW01000240.1	C. viatorum	QZWW01000240.1
lcl|C_viatorium-QZWW01000241.1	C. viatorum	QZWW01000241.1
lcl|C_viatorium-QZWW01000242.1	C. viatorum	QZWW01000242.1
lcl|C_viatorium-QZWW01000086.1	C. viatorum	QZWW01000086.1
lcl|C_viatorium-QZWW01000243.1	C. viatorum	QZWW01000243.1
lcl|C_viatorium-QZWW01000087.1	C. viatorum	QZWW01000087.1
lcl|C_viatorium-QZWW01000008.1	C. viatorum	QZWW01000008.1
lcl|JIBK01000001.1	C. meleagridis	JIBK01000001.1
lcl|JIBK01000002.1	C. meleagridis	JIBK01000002.1
lcl|JIBK01000003.1	C. meleagridis	JIBK01000003.1
lcl|JIBK01000004.1	C. meleagridis	JIBK01000004.1
lcl|JIBK01000005.1	C. meleagridis	JIBK01000005.1
lcl|JIBK01000006.1	C. meleagridis	JIBK01000006.1
lcl|JIBK01000007.1	C. meleagridis	JIBK01000007.1
lcl|JIBK01000008.1	C. meleagridis	JIBK01000008.1
lcl|JIBK01000009.1	C. meleagridis	JIBK01000009.1
lcl|JIBK01000010.1	C. meleagridis	JIBK01000010.1
lcl|JIBK01000011.1	C. meleagridis	JIBK01000011.1
lcl|JIBK01000012.1	C. meleagridis	JIBK01000012.1
lcl|JIBK01000013.1	C. meleagridis	JIBK01000013.1
lcl|JIBK01000014.1	C. meleagridis	JIBK01000014.1
lcl|JIBK01000015.1	C. meleagridis	JIBK01000015.1
lcl|JIBK01000016.1	C. meleagridis	JIBK01000016.1
lcl|JIBK01000017.1	C. meleagridis	JIBK01000017.1
lcl|JIBK01000018.1	C. meleagridis	JIBK01000018.1
lcl|JIBK01000019.1	C. meleagridis	JIBK01000019.1
lcl|JIBK01000020.1	C. meleagridis	JIBK01000020.1
lcl|JIBK01000021.1	C. meleagridis	JIBK01000021.1
lcl|JIBK01000022.1	C. meleagridis	JIBK01000022.1
lcl|JIBK01000023.1	C. meleagridis	JIBK01000023.1
lcl|JIBK01000024.1	C. meleagridis	JIBK01000024.1
lcl|JIBK01000025.1	C. meleagridis	JIBK01000025.1
lcl|JIBK01000026.1	C. meleagridis	JIBK01000026.1
lcl|JIBK01000027.1	C. meleagridis	JIBK01000027.1
lcl|JIBK01000028.1	C. meleagridis	JIBK01000028.1
lcl|JIBK01000029.1	C. meleagridis	JIBK01000029.1
lcl|JIBK01000030.1	C. meleagridis	JIBK01000030.1
lcl|JIBK01000031.1	C. meleagridis	JIBK01000031.1
lcl|JIBK01000032.1	C. meleagridis	JIBK01000032.1
lcl|JIBK01000033.1	C. meleagridis	JIBK01000033.1
lcl|JIBK01000034.1	C. meleagridis	JIBK01000034.1
lcl|JIBK01000035.1	C. meleagridis	JIBK01000035.1
lcl|JIBK01000036.1	C. meleagridis	JIBK01000036.1
lcl|JIBK01000037.1	C. meleagridis	JIBK01000037.1
lcl|JIBK01000038.1	C. meleagridis	JIBK01000038.1
lcl|JIBK01000039.1	C. meleagridis	JIBK01000039.1
lcl|JIBK01000040.1	C. meleagridis	JIBK01000040.1
lcl|JIBK01000041.1	C. meleagridis	JIBK01000041.1
lcl|JIBK01000042.1	C. meleagridis	JIBK01000042.1
lcl|JIBK01000043.1	C. meleagridis	JIBK01000043.1
lcl|JIBK01000044.1	C. meleagridis	JIBK01000044.1
lcl|JIBK01000045.1	C. meleagridis	JIBK01000045.1
lcl|JIBK01000046.1	C. meleagridis	JIBK01000046.1
lcl|JIBK01000047.1	C. meleagridis	JIBK01000047.1
lcl|JIBK01000048.1	C. meleagridis	JIBK01000048.1
lcl|JIBK01000049.1	C. meleagridis	JIBK01000049.1
lcl|JIBK01000050.1	C. meleagridis	JIBK01000050.1
lcl|JIBK01000051.1	C. meleagridis	JIBK01000051.1
lcl|JIBK01000052.1	C. meleagridis	JIBK01000052.1
lcl|JIBK01000053.1	C. meleagridis	JIBK01000053.1
lcl|JIBK01000054.1	C. meleagridis	JIBK01000054.1
lcl|JIBK01000055.1	C. meleagridis	JIBK01000055.1
lcl|JIBK01000056.1	C. meleagridis	JIBK01000056.1
lcl|JIBK01000057.1	C. meleagridis	JIBK01000057.1
lcl|JABXOJ010000001.1	C. felis	JABXOJ010000001.1
lcl|JABXOJ010000010.1	C. felis	JABXOJ010000010.1
lcl|JABXOJ010000083.1	C. felis	JABXOJ010000083.1
lcl|JABXOJ010000084.1	C. felis	JABXOJ010000084.1
lcl|JABXOJ010000085.1	C. felis	JABXOJ010000085.1
lcl|JABXOJ010000086.1	C. felis	JABXOJ010000086.1
lcl|JABXOJ010000087.1	C. felis	JABXOJ010000087.1
lcl|JABXOJ010000088.1	C. felis	JABXOJ010000088.1
lcl|JABXOJ010000089.1	C. felis	JABXOJ010000089.1
lcl|JABXOJ010000090.1	C. felis	JABXOJ010000090.1
lcl|JABXOJ010000091.1	C. felis	JABXOJ010000091.1
lcl|JABXOJ010000011.1	C. felis	JABXOJ010000011.1
lcl|JABXOJ010000092.1	C. felis	JABXOJ010000092.1
lcl|JABXOJ010000093.1	C. felis	JABXOJ010000093.1
lcl|JABXOJ010000094.1	C. felis	JABXOJ010000094.1
lcl|JABXOJ010000012.1	C. felis	JABXOJ010000012.1
lcl|JABXOJ010000095.1	C. felis	JABXOJ010000095.1
lcl|JABXOJ010000096.1	C. felis	JABXOJ010000096.1
lcl|JABXOJ010000097.1	C. felis	JABXOJ010000097.1
lcl|JABXOJ010000098.1	C. felis	JABXOJ010000098.1
lcl|JABXOJ010000099.1	C. felis	JABXOJ010000099.1
lcl|JABXOJ010000100.1	C. felis	JABXOJ010000100.1
lcl|JABXOJ010000013.1	C. felis	JABXOJ010000013.1
lcl|JABXOJ010000101.1	C. felis	JABXOJ010000101.1
lcl|JABXOJ010000102.1	C. felis	JABXOJ010000102.1
lcl|JABXOJ010000103.1	C. felis	JABXOJ010000103.1
lcl|JABXOJ010000104.1	C. felis	JABXOJ010000104.1
lcl|JABXOJ010000014.1	C. felis	JABXOJ010000014.1
lcl|JABXOJ010000105.1	C. felis	JABXOJ010000105.1
lcl|JABXOJ010000106.1	C. felis	JABXOJ010000106.1
lcl|JABXOJ010000015.1	C. felis	JABXOJ010000015.1
lcl|JABXOJ010000107.1	C. felis	JABXOJ010000107.1
lcl|JABXOJ010000133.1	C. felis	JABXOJ010000133.1
lcl|JABXOJ010000108.1	C. felis	JABXOJ010000108.1
lcl|JABXOJ010000109.1	C. felis	JABXOJ010000109.1
lcl|JABXOJ010000016.1	C. felis	JABXOJ010000016.1
lcl|JABXOJ010000110.1	C. felis	JABXOJ010000110.1
lcl|JABXOJ010000017.1	C. felis	JABXOJ010000017.1
lcl|JABXOJ010000111.1	C. felis	JABXOJ010000111.1
lcl|JABXOJ010000112.1	C. felis	JABXOJ010000112.1
lcl|JABXOJ010000113.1	C. felis	JABXOJ010000113.1
lcl|JABXOJ010000018.1	C. felis	JABXOJ010000018.1
lcl|JABXOJ010000114.1	C. felis	JABXOJ010000114.1
lcl|JABXOJ010000115.1	C. felis	JABXOJ010000115.1
lcl|JABXOJ010000116.1	C. felis	JABXOJ010000116.1
lcl|JABXOJ010000019.1	C. felis	JABXOJ010000019.1
lcl|JABXOJ010000117.1	C. felis	JABXOJ010000117.1
lcl|JABXOJ010000118.1	C. felis	JABXOJ010000118.1
lcl|JABXOJ010000002.1	C. felis	JABXOJ010000002.1
lcl|JABXOJ010000020.1	C. felis	JABXOJ010000020.1
lcl|JABXOJ010000119.1	C. felis	JABXOJ010000119.1
lcl|JABXOJ010000021.1	C. felis	JABXOJ010000021.1
lcl|JABXOJ010000120.1	C. felis	JABXOJ010000120.1
lcl|JABXOJ010000121.1	C. felis	JABXOJ010000121.1
lcl|JABXOJ010000122.1	C. felis	JABXOJ010000122.1
lcl|JABXOJ010000022.1	C. felis	JABXOJ010000022.1
lcl|JABXOJ010000123.1	C. felis	JABXOJ010000123.1
lcl|JABXOJ010000023.1	C. felis	JABXOJ010000023.1
lcl|JABXOJ010000024.1	C. felis	JABXOJ010000024.1
lcl|JABXOJ010000124.1	C. felis	JABXOJ010000124.1
lcl|JABXOJ010000125.1	C. felis	JABXOJ010000125.1
lcl|JABXOJ010000126.1	C. felis	JABXOJ010000126.1
lcl|JABXOJ010000025.1	C. felis	JABXOJ010000025.1
lcl|JABXOJ010000127.1	C. felis	JABXOJ010000127.1
lcl|JABXOJ010000026.1	C. felis	JABXOJ010000026.1
lcl|JABXOJ010000128.1	C. felis	JABXOJ010000128.1
lcl|JABXOJ010000027.1	C. felis	JABXOJ010000027.1
lcl|JABXOJ010000129.1	C. felis	JABXOJ010000129.1
lcl|JABXOJ010000028.1	C. felis	JABXOJ010000028.1
lcl|JABXOJ010000029.1	C. felis	JABXOJ010000029.1
lcl|JABXOJ010000130.1	C. felis	JABXOJ010000130.1
lcl|JABXOJ010000003.1	C. felis	JABXOJ010000003.1
lcl|JABXOJ010000030.1	C. felis	JABXOJ010000030.1
lcl|JABXOJ010000031.1	C. felis	JABXOJ010000031.1
lcl|JABXOJ010000131.1	C. felis	JABXOJ010000131.1
lcl|JABXOJ010000032.1	C. felis	JABXOJ010000032.1
lcl|JABXOJ010000033.1	C. felis	JABXOJ010000033.1
lcl|JABXOJ010000034.1	C. felis	JABXOJ010000034.1
lcl|JABXOJ010000035.1	C. felis	JABXOJ010000035.1
lcl|JABXOJ010000036.1	C. felis	JABXOJ010000036.1
lcl|JABXOJ010000037.1	C. felis	JABXOJ010000037.1
lcl|JABXOJ010000132.1	C. felis	JABXOJ010000132.1
lcl|JABXOJ010000038.1	C. felis	JABXOJ010000038.1
lcl|JABXOJ010000039.1	C. felis	JABXOJ010000039.1
lcl|JABXOJ010000004.1	C. felis	JABXOJ010000004.1
lcl|JABXOJ010000040.1	C. felis	JABXOJ010000040.1
lcl|JABXOJ010000041.1	C. felis	JABXOJ010000041.1
lcl|JABXOJ010000042.1	C. felis	JABXOJ010000042.1
lcl|JABXOJ010000043.1	C. felis	JABXOJ010000043.1
lcl|JABXOJ010000044.1	C. felis	JABXOJ010000044.1
lcl|JABXOJ010000045.1	C. felis	JABXOJ010000045.1
lcl|JABXOJ010000046.1	C. felis	JABXOJ010000046.1
lcl|JABXOJ010000047.1	C. felis	JABXOJ010000047.1
lcl|JABXOJ010000048.1	C. felis	JABXOJ010000048.1
lcl|JABXOJ010000049.1	C. felis	JABXOJ010000049.1
lcl|JABXOJ010000005.1	C. felis	JABXOJ010000005.1
lcl|JABXOJ010000050.1	C. felis	JABXOJ010000050.1
lcl|JABXOJ010000051.1	C. felis	JABXOJ010000051.1
lcl|JABXOJ010000052.1	C. felis	JABXOJ010000052.1
lcl|JABXOJ010000053.1	C. felis	JABXOJ010000053.1
lcl|JABXOJ010000054.1	C. felis	JABXOJ010000054.1
lcl|JABXOJ010000055.1	C. felis	JABXOJ010000055.1
lcl|JABXOJ010000056.1	C. felis	JABXOJ010000056.1
lcl|JABXOJ010000057.1	C. felis	JABXOJ010000057.1
lcl|JABXOJ010000058.1	C. felis	JABXOJ010000058.1
lcl|JABXOJ010000006.1	C. felis	JABXOJ010000006.1
lcl|JABXOJ010000059.1	C. felis	JABXOJ010000059.1
lcl|JABXOJ010000060.1	C. felis	JABXOJ010000060.1
lcl|JABXOJ010000061.1	C. felis	JABXOJ010000061.1
lcl|JABXOJ010000062.1	C. felis	JABXOJ010000062.1
lcl|JABXOJ010000063.1	C. felis	JABXOJ010000063.1
lcl|JABXOJ010000064.1	C. felis	JABXOJ010000064.1
lcl|JABXOJ010000065.1	C. felis	JABXOJ010000065.1
lcl|JABXOJ010000066.1	C. felis	JABXOJ010000066.1
lcl|JABXOJ010000007.1	C. felis	JABXOJ010000007.1
lcl|JABXOJ010000067.1	C. felis	JABXOJ010000067.1
lcl|JABXOJ010000068.1	C. felis	JABXOJ010000068.1
lcl|JABXOJ010000069.1	C. felis	JABXOJ010000069.1
lcl|JABXOJ010000008.1	C. felis	JABXOJ010000008.1
lcl|JABXOJ010000070.1	C. felis	JABXOJ010000070.1
lcl|JABXOJ010000071.1	C. felis	JABXOJ010000071.1
lcl|JABXOJ010000072.1	C. felis	JABXOJ010000072.1
lcl|JABXOJ010000073.1	C. felis	JABXOJ010000073.1
lcl|JABXOJ010000074.1	C. felis	JABXOJ010000074.1
lcl|JABXOJ010000075.1	C. felis	JABXOJ010000075.1
lcl|JABXOJ010000009.1	C. felis	JABXOJ010000009.1
lcl|JABXOJ010000076.1	C. felis	JABXOJ010000076.1
lcl|JABXOJ010000077.1	C. felis	JABXOJ010000077.1
lcl|JABXOJ010000078.1	C. felis	JABXOJ010000078.1
lcl|JABXOJ010000079.1	C. felis	JABXOJ010000079.1
lcl|JABXOJ010000080.1	C. felis	JABXOJ010000080.1
lcl|JABXOJ010000081.1	C. felis	JABXOJ010000081.1
lcl|JABXOJ010000082.1	C. felis	JABXOJ010000082.1
lcl|JAPCXC010000001.1	C. canis	JAPCXC010000001.1
lcl|JAPCXC010000010.1	C. canis	JAPCXC010000010.1
lcl|JAPCXC010000097.1	C. canis	JAPCXC010000097.1
lcl|JAPCXC010000098.1	C. canis	JAPCXC010000098.1
lcl|JAPCXC010000099.1	C. canis	JAPCXC010000099.1
lcl|JAPCXC010000100.1	C. canis	JAPCXC010000100.1
lcl|JAPCXC010000101.1	C. canis	JAPCXC010000101.1
lcl|JAPCXC010000102.1	C. canis	JAPCXC010000102.1
lcl|JAPCXC010000103.1	C. canis	JAPCXC010000103.1
lcl|JAPCXC010000104.1	C. canis	JAPCXC010000104.1
lcl|JAPCXC010000105.1	C. canis	JAPCXC010000105.1
lcl|JAPCXC010000106.1	C. canis	JAPCXC010000106.1
lcl|JAPCXC010000011.1	C. canis	JAPCXC010000011.1
lcl|JAPCXC010000107.1	C. canis	JAPCXC010000107.1
lcl|JAPCXC010000108.1	C. canis	JAPCXC010000108.1
lcl|JAPCXC010000109.1	C. canis	JAPCXC010000109.1
lcl|JAPCXC010000110.1	C. canis	JAPCXC010000110.1
lcl|JAPCXC010000111.1	C. canis	JAPCXC010000111.1
lcl|JAPCXC010000112.1	C. canis	JAPCXC010000112.1
lcl|JAPCXC010000113.1	C. canis	JAPCXC010000113.1
lcl|JAPCXC010000114.1	C. canis	JAPCXC010000114.1
lcl|JAPCXC010000115.1	C. canis	JAPCXC010000115.1
lcl|JAPCXC010000116.1	C. canis	JAPCXC010000116.1
lcl|JAPCXC010000012.1	C. canis	JAPCXC010000012.1
lcl|JAPCXC010000117.1	C. canis	JAPCXC010000117.1
lcl|JAPCXC010000118.1	C. canis	JAPCXC010000118.1
lcl|JAPCXC010000119.1	C. canis	JAPCXC010000119.1
lcl|JAPCXC010000120.1	C. canis	JAPCXC010000120.1
lcl|JAPCXC010000121.1	C. canis	JAPCXC010000121.1
lcl|JAPCXC010000122.1	C. canis	JAPCXC010000122.1
lcl|JAPCXC010000123.1	C. canis	JAPCXC010000123.1
lcl|JAPCXC010000124.1	C. canis	JAPCXC010000124.1
lcl|JAPCXC010000125.1	C. canis	JAPCXC010000125.1
lcl|JAPCXC010000126.1	C. canis	JAPCXC010000126.1
lcl|JAPCXC010000013.1	C. canis	JAPCXC010000013.1
lcl|JAPCXC010000127.1	C. canis	JAPCXC010000127.1
lcl|JAPCXC010000128.1	C. canis	JAPCXC010000128.1
lcl|JAPCXC010000129.1	C. canis	JAPCXC010000129.1
lcl|JAPCXC010000130.1	C. canis	JAPCXC010000130.1
lcl|JAPCXC010000131.1	C. canis	JAPCXC010000131.1
lcl|JAPCXC010000132.1	C. canis	JAPCXC010000132.1
lcl|JAPCXC010000133.1	C. canis	JAPCXC010000133.1
lcl|JAPCXC010000134.1	C. canis	JAPCXC010000134.1
lcl|JAPCXC010000135.1	C. canis	JAPCXC010000135.1
lcl|JAPCXC010000136.1	C. canis	JAPCXC010000136.1
lcl|JAPCXC010000014.1	C. canis	JAPCXC010000014.1
lcl|JAPCXC010000137.1	C. canis	JAPCXC010000137.1
lcl|JAPCXC010000138.1	C. canis	JAPCXC010000138.1
lcl|JAPCXC010000139.1	C. canis	JAPCXC010000139.1
lcl|JAPCXC010000140.1	C. canis	JAPCXC010000140.1
lcl|JAPCXC010000141.1	C. canis	JAPCXC010000141.1
lcl|JAPCXC010000142.1	C. canis	JAPCXC010000142.1
lcl|JAPCXC010000143.1	C. canis	JAPCXC010000143.1
lcl|JAPCXC010000144.1	C. canis	JAPCXC010000144.1
lcl|JAPCXC010000145.1	C. canis	JAPCXC010000145.1
lcl|JAPCXC010000146.1	C. canis	JAPCXC010000146.1
lcl|JAPCXC010000015.1	C. canis	JAPCXC010000015.1
lcl|JAPCXC010000147.1	C. canis	JAPCXC010000147.1
lcl|JAPCXC010000148.1	C. canis	JAPCXC010000148.1
lcl|JAPCXC010000149.1	C. canis	JAPCXC010000149.1
lcl|JAPCXC010000150.1	C. canis	JAPCXC010000150.1
lcl|JAPCXC010000151.1	C. canis	JAPCXC010000151.1
lcl|JAPCXC010000152.1	C. canis	JAPCXC010000152.1
lcl|JAPCXC010000153.1	C. canis	JAPCXC010000153.1
lcl|JAPCXC010000154.1	C. canis	JAPCXC010000154.1
lcl|JAPCXC010000155.1	C. canis	JAPCXC010000155.1
lcl|JAPCXC010000156.1	C. canis	JAPCXC010000156.1
lcl|JAPCXC010000016.1	C. canis	JAPCXC010000016.1
lcl|JAPCXC010000157.1	C. canis	JAPCXC010000157.1
lcl|JAPCXC010000158.1	C. canis	JAPCXC010000158.1
lcl|JAPCXC010000159.1	C. canis	JAPCXC010000159.1
lcl|JAPCXC010000160.1	C. canis	JAPCXC010000160.1
lcl|JAPCXC010000161.1	C. canis	JAPCXC010000161.1
lcl|JAPCXC010000162.1	C. canis	JAPCXC010000162.1
lcl|JAPCXC010000163.1	C. canis	JAPCXC010000163.1
lcl|JAPCXC010000166.1	C. canis	JAPCXC010000166.1
lcl|JAPCXC010000017.1	C. canis	JAPCXC010000017.1
lcl|JAPCXC010000018.1	C. canis	JAPCXC010000018.1
lcl|JAPCXC010000019.1	C. canis	JAPCXC010000019.1
lcl|JAPCXC010000002.1	C. canis	JAPCXC010000002.1
lcl|JAPCXC010000020.1	C. canis	JAPCXC010000020.1
lcl|JAPCXC010000021.1	C. canis	JAPCXC010000021.1
lcl|JAPCXC010000022.1	C. canis	JAPCXC010000022.1
lcl|JAPCXC010000023.1	C. canis	JAPCXC010000023.1
lcl|JAPCXC010000024.1	C. canis	JAPCXC010000024.1
lcl|JAPCXC010000025.1	C. canis	JAPCXC010000025.1
lcl|JAPCXC010000026.1	C. canis	JAPCXC010000026.1
lcl|JAPCXC010000027.1	C. canis	JAPCXC010000027.1
lcl|JAPCXC010000028.1	C. canis	JAPCXC010000028.1
lcl|JAPCXC010000029.1	C. canis	JAPCXC010000029.1
lcl|JAPCXC010000003.1	C. canis	JAPCXC010000003.1
lcl|JAPCXC010000030.1	C. canis	JAPCXC010000030.1
lcl|JAPCXC010000031.1	C. canis	JAPCXC010000031.1
lcl|JAPCXC010000032.1	C. canis	JAPCXC010000032.1
lcl|JAPCXC010000033.1	C. canis	JAPCXC010000033.1
lcl|JAPCXC010000034.1	C. canis	JAPCXC010000034.1
lcl|JAPCXC010000035.1	C. canis	JAPCXC010000035.1
lcl|JAPCXC010000036.1	C. canis	JAPCXC010000036.1
lcl|JAPCXC010000037.1	C. canis	JAPCXC010000037.1
lcl|JAPCXC010000038.1	C. canis	JAPCXC010000038.1
lcl|JAPCXC010000039.1	C. canis	JAPCXC010000039.1
lcl|JAPCXC010000004.1	C. canis	JAPCXC010000004.1
lcl|JAPCXC010000040.1	C. canis	JAPCXC010000040.1
lcl|JAPCXC010000041.1	C. canis	JAPCXC010000041.1
